ML,DAA,DBMS,SI,DM,IoT,DBMS LAB,ML LAB,GPA
7,9,5,4,10,9,5,5,6.6
10,4,10,8,6,10,6,4,7.6
7,10,5,7,6,4,5,5,6.25
8,8,5,10,4,5,8,5,6.9
4,9,6,6,7,4,6,10,6.3
10,9,9,9,5,7,4,8,8.05
8,5,5,7,9,10,8,9,7.4
4,6,6,6,4,9,8,10,6.65
7,5,4,6,7,7,6,10,6.3
5,9,5,10,4,7,8,6,7
10,4,6,10,8,7,6,7,7.25
6,6,5,9,7,9,9,4,6.9
9,5,4,10,7,7,6,8,7
6,6,8,4,9,7,7,6,6.4
8,7,8,7,8,6,10,6,7.4
8,5,9,4,6,6,4,4,5.9
5,9,4,8,5,4,6,5,5.85
6,5,4,7,8,7,4,4,5.55
8,10,4,7,4,6,6,7,6.75
5,9,10,9,7,5,6,7,7.35
10,4,5,9,7,6,9,10,7.35
9,9,9,7,10,5,7,8,7.85
9,9,4,10,5,9,9,7,8
9,9,5,8,5,9,9,4,7.55
5,4,9,4,5,7,5,9,6
7,8,5,6,4,6,8,7,6.5
9,5,4,10,7,8,9,10,7.65
5,7,7,7,10,4,4,7,6.1
9,8,4,5,10,10,7,5,7.1
5,4,10,4,7,6,5,10,6.2
4,7,8,7,6,7,4,10,6.65
4,6,6,6,6,6,4,6,5.5
10,6,5,6,9,9,10,8,7.65
10,8,4,6,4,6,9,6,6.8
5,5,8,8,10,10,5,6,7
5,4,8,6,9,4,8,9,6.2
4,10,9,10,7,7,9,8,8.05
7,8,7,9,8,9,10,5,7.9
4,8,9,6,9,4,9,5,6.5
9,10,10,8,7,8,4,7,8.2
5,9,7,8,6,4,9,8,6.95
6,8,5,8,9,6,5,7,6.6
5,6,9,7,9,10,10,4,7.4
8,9,7,5,10,9,6,10,7.8
10,5,6,6,10,8,7,10,7.45
4,10,7,5,9,10,4,4,6.65
6,4,7,10,5,4,10,6,6.5
9,10,5,4,6,6,4,6,6.4
9,9,4,7,4,8,5,5,6.75
4,6,5,6,10,5,7,7,5.8
5,7,4,4,8,4,10,7,5.7
10,5,7,5,9,8,7,10,7.4
9,9,8,7,8,9,5,6,7.8
7,9,10,7,5,9,5,10,8.05
6,8,8,5,9,7,8,7,7.05
7,8,6,4,4,9,5,9,6.7
9,7,5,9,8,9,5,7,7.45
8,10,4,8,6,6,9,7,7.3
9,7,6,10,6,5,4,6,6.85
5,8,9,9,6,4,5,5,6.55
6,5,9,10,8,9,4,9,7.55
10,6,6,5,7,8,4,9,6.9
8,4,7,8,4,6,10,10,7.15
7,4,4,10,4,6,7,9,6.45
6,9,10,6,5,6,7,5,7
8,8,7,6,8,4,4,4,6.15
4,10,7,10,4,9,9,10,8.1
